Unnamed: 0,User,Tweet,Cleaned_Tweet,Sentiment,Label
20,mrmishra2001,"@INCIndia @RahulGandhi Your party have done good work in opposition, NO SCAM was done by Modi Government in your opposition period.. Good luck for as a Opposition Party for now and forever PAPPU Bhai 😁😀😀#Raga #NARENDRAMODI",party done good work opposition scam done modi government opposition period good luck opposition party forever pappu bhai raga narendramodi,0.7,1.0
24,rjarpitaa,"To muster strategies, Sonia Gandhi has called a meeting of senior Congress leaders on May 22, a day ahead of counting of votes #LokSabhaElections2019. Possibility of roping in new non-NDA parties into the UPA coaltion to buttress opposition numbers may be discussed, sources said.",muster strategies sonia gandhi called meeting senior congress leaders may day ahead counting votes loksabhaelections possibility roping new nonnda parties upa coaltion buttress opposition numbers may discussed sources said,0.13636363636363635,1.0
26,puranik_kaushik,Why are the political parties fighting about why Godse killed Gandhi and was it justified.....it's been 70 years since that incident just leave it and focus on the elections... #Elections2019 #BJP #Congress @RahulGandhi @narendramodi,political parties fighting godse killed gandhi justifiedits years since incident leave focus elections elections bjp congress,-0.1,0.0
27,umakantsingh_IN,"#MuteModi, it wrong, it  #Modi3.0 for 2024 as he lost 2019 already, for that meditation in Himalayas, but Rahul Gandhi just still on 0.9? #LokSabhaElections2019 #Kedarnath",mutemodi wrong modi lost already meditation himalayas rahul gandhi still loksabhaelections kedarnath,-0.5,0.0
28,Utsav6589,"@RahulGandhi You don't worry Mr Gandhi, AAYEGA TO MODI HI....then he will give answer okay..!!

Delhi abhi dur he...Abki bar phir Modi sarkar...#LokSabhaElections2019 @narendramodi",dont worry mr gandhi aayega modi hithen give answer okay delhi abhi dur heabki bar phir modi sarkarloksabhaelections,0.5,1.0
31,johnmathew0308,"@RahulGandhi Yes, as BJP &amp; RSS portrays as the Defenders of Hindu Faith, What they have done for the common Hindu Devotees of this land, I forget all their promises of 2014 as a Citizen of this land but... 
You Fox 🦊 (#Kurukan) clothed as a sheep with Fake Promises #FoxModi #NarendraModi",yes bjp amp rss portrays defenders hindu faith done common hindu devotees land forget promises citizen land fox kurukan clothed sheep fake promises foxmodi narendramodi,-0.4,0.0
33,IkkMundaPunjabi,"""Congress has been an A-grade opposition party this election,' says Rahul Gandhi""  

We loved your role in 2014-19 and want to see @INCIndia again play A-grade opposition party from 2019-24

#LokSabhaElections2019
#AyegaTohModiHi
@BJP4India
#NaMoAgain2019",congress agrade opposition party election says rahul gandhi loved role want see play agrade opposition party loksabhaelections ayegatohmodihi namoagain,0.7,1.0
34,kulkarni_vaish,"@Ibne_Sena #RahulGandhiLies
#RahulGandhi

Absolutely right ... 

Be a strong and principled opposition, Mr Rahul Gandhi..!!",rahulgandhilies rahulgandhi absolutely right strong principled opposition mr rahul gandhi,0.35952380952380947,1.0
35,kritikasrawat25,"@RahulGandhi keep saying this nonsense that I have challenged @narendramodi for a debate&amp; he is scared to do it.Its good #modi is ignoring him,we have seen all kind of interviews of #RahulGandhi.He is that dumb kid who does everything to get attention of popular kid in school!",keep saying nonsense challenged debateamp scared itits good modi ignoring himwe seen kind interviews rahulgandhihe dumb kid everything get attention popular kid school,0.38125,1.0
37,SharonFeb6,"@TarekFatah @RahulGandhi @narendramodi If BJP can monitor complete social media, tv channels, movie industry, YouTube videos, whatsapp, clouds, digital camera and much more. Big deal if he send some journalist? Sadly, no #BJP &amp; #congress wants to educated India.",bjp monitor complete social media tv channels movie industry youtube videos whatsapp clouds digital camera much big deal send journalist sadly bjp amp congress wants educated india,-0.02777777777777778,0.0
38,ABHINAVsr,"Is Rahul Gandhi is real "" Pappu "" ?? Is he proved this in all his interview . #LokSabhaElections2019 #RahulGandhi #ModiInKedarnath #ApnaModiAayega #PhirEKBaarModiSarkaar",rahul gandhi real pappu proved interview loksabhaelections rahulgandhi modiinkedarnath apnamodiaayega phirekbaarmodisarkaar,0.2,1.0
39,UdayRajSinghBo1,"""My own view is that great men are of great service to their country, but they are also at certain times a great hindrance to the progress of the country. Mr Gandhi had become a positive danger to this country,""

said B.R Ambedkar

Copied-DNA

#Vote4Nation #LokSabhaElections2019",view great men great service country also certain times great hindrance progress country mr gandhi become positive danger country said br ambedkar copieddna votenation loksabhaelections,0.5683116883116883,1.0
40,PeacefulHind,"Prime Minister Shri #NarendraModi
Said he has not forgiven Pragya Singh Thakur by heart!

Obiovsly it's because love &amp; respect  towards Mahatma Gandhi !

Q. If love &amp; respect is so genuine definitely he should have removed her from fighting election!

#MuteModi PM Modi Telegraph",prime minister shri narendramodi said forgiven pragya singh thakur heart obiovsly love amp respect towards mahatma gandhi q love amp respect genuine definitely removed fighting election mutemodi pm modi telegraph,0.35,1.0
41,DBhandari14,"@RahulGandhi Congratulations To u @RahulGandhi u tried to face something called as interview on ur own turf after 4 phases of elections !! Next time u won't be in politics..so far till now...u did ok ok!!

And yes importantly 

#AayegaTohModiHi @narendramodi #Modi #LokSabhaElections2019",congratulations u u tried face something called interview ur turf phases elections next time u wont politicsso far till nowu ok ok yes importantly aayegatohmodihi modi loksabhaelections,0.3,1.0
42,sqharshad,"Last phase of election will have greater impact on result, main factors
Ishwar chand vidyasagar
Godse
Pragya thakur
Mute press conference
ECI tantrums
Rahul Gandhi press interaction
Who is benefitting? 
#GeneralElections2019
#7thphaseloksabhapolls #LokSabhaElections2019",last phase election greater impact result main factors ishwar chand vidyasagar godse pragya thakur mute press conference eci tantrums rahul gandhi press interaction benefitting generalelections thphaseloksabhapolls loksabhaelections,0.2222222222222222,1.0
43,niketaga,"No matter how much I support @narendramodi, in these campaign Congress was good and most importantly their manifesto is much better than #bjp the only thing goes against #Congress is top level leadership and Gandhi family",matter much support campaign congress good importantly manifesto much better bjp thing goes congress top level leadership gandhi family,0.45999999999999996,1.0
45,imshaurya1308,"Who is the best spokesperson of BJP/NDA?
#aajtak #republic #zeenews #jaayegatohmodihi @narendramodi @RahulGandhi #LokSabhaElections2019 #loksabha @AamAadmiParty @avsurya @dhruv_rathee @akashbanerjee #bjp #Congress #ModiObsession #ElectionsWithNDTV #ElectionCommissionOfIndia",best spokesperson bjpnda aajtak republic zeenews jaayegatohmodihi loksabhaelections loksabha bjp congress modiobsession electionswithndtv electioncommissionofindia,1.0,1.0
46,umakantsingh_IN,"@MamataOfficial @yadavakhilesh @Mayawati @ArvindKejriwal I hardly care what people in foreign country do ratings, but go through, before @TIME told I knew Modi #DividerInChief, Rahul #DividerNo.1 , so I went for uniting India, United India  govt of united parties govt..1/2 #LokSabhaElections2019 #Kedarnath #BuddhaPurnima Omar Khayyam",hardly care people foreign country ratings go told knew modi dividerinchief rahul dividerno went uniting india united india govt united parties govt loksabhaelections kedarnath buddhapurnima omar khayyam,-0.20833333333333334,0.0
48,kumardurgesh262,"@RahulGandhi Sir, I pray to you as a #BigBrother and join #Hands with you that I want to leave the #BJP and come to #Congress.Please join us in your party, Sir #LokSabhaElection is near by 2019 and I also want to work hard with you in this election.I Request you.
@RahulGandhi Ji",sir pray bigbrother join hands want leave bjp come congressplease join us party sir loksabhaelection near also want work hard electioni request ji,-0.09583333333333334,0.0
49,neerajbhushan,Countdown to #May23: Both Narendra Modi of #BJP and Rahul Gandhi of #Congress are upbeat about becoming the prime minister. What if there’s a dark horse quietly waiting to be sworn in after votes are declared after this #LokSabhaEelctions2019,countdown may narendra modi bjp rahul gandhi congress upbeat becoming prime minister theres dark horse quietly waiting sworn votes declared loksabhaeelctions,0.10000000000000002,1.0
51,Bhar10duSharma,"BJP's candidate from Kolkata Uttar, Rahul Sinha raises Burqa issue with EC. He alleged that TMC is sending male cadres wearing burqa to caste votes and central women forces should be deployed in such booths to check them.
#LokSabhaElections2019 #Bengal #Kolkata",bjps candidate kolkata uttar rahul sinha raises burqa issue ec alleged tmc sending male cadres wearing burqa caste votes central women forces deployed booths check loksabhaelections bengal kolkata,-0.03333333333333333,0.0
53,PraveenPhilip81,"@harmeekbhamra @ndtv You are right. Only bcos #BJP is trying to change the history and lie to the next generation it becomes very important to speak abt it. Gandhi is the foundation over which this nation stands, that needs to be protected. 
Godse and his ideologies must be put in place. Period.",right bcos bjp trying change history lie next generation becomes important speak abt gandhi foundation nation stands needs protected godse ideologies must put place period,0.22857142857142856,1.0
55,sadanandtikare,"#RahulGandhi @RahulGandhi
having Two Gods
One #Modi &amp;
Another #Godse
Both are boost to his Political Energy
Without these he his big a zero
He have no other issues  to blow fire in the Media &amp; Social Media
Godse name itself he capitalised by #Cingress and fooling this Nation",rahulgandhi two gods one modi amp another godse boost political energy without big zero issues blow fire media amp social media godse name capitalised cingress fooling nation,0.011111111111111112,1.0
56,msjunebug_nivi,"“You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.” – Mahatma Gandhi #LokSabhaElections2019 #TheBigBangTheory",must lose faith humanity humanity ocean drops ocean dirty ocean become dirty mahatma gandhi loksabhaelections thebigbangtheory,-0.6,0.0
59,SaiPai9,@RahulGandhi Sir please send list of your journalist and we will arrange a special press conference after NAMO is sworn second time. #BJP,sir please send list journalist arrange special press conference namo sworn second time bjp,0.17857142857142858,1.0
60,deepanshah13,"@sagarikaghose @narendramodi 1. How is it Possible???

2. Why #Modi or #BJP should listen to you people who simply hate them without any reason???

3. Why don't you ask @RahulGandhi to remove Kamalnath as CM of MP???

4. Why don't you ask a reason for Giving 'Bharat Ratna' to Gandhis/ Nehru???

#IndiaFirst",possible modi bjp listen people simply hate without reason dont ask remove kamalnath cm mp dont ask reason giving bharat ratna gandhis nehru indiafirst,-0.4,0.0
61,mai_hun_congres,"He divided, 
Journalists
Cricketers
Youngsters
College teens
Sportsmens
Actors actresses
Friends
But due to him countries new age boys niwed
Who Gandhi was 🙏

#pressconference
#Darpokmodi
#ChowkidarChorHai
#DividerInCheif 
#NarendraModi 
#ModiHaiTohGodseHai 
@INCMaharashtra",divided journalists cricketers youngsters college teens sportsmens actors actresses friends due countries new age boys niwed gandhi pressconference darpokmodi chowkidarchorhai dividerincheif narendramodi modihaitohgodsehai,0.005681818181818177,1.0
63,hsmujahid,"@RahulGandhi Really quite appreciative of the way u've strongly faced the media &amp; raised the core issues India is suffering, because of Incompetent @BJP4India govt.

Thanks #Rahul bhaiya
#LokSabhaElections2019
#rahulgandhiinterview
#ModiHaiTohGodseHai
#ModiFlopPressConference
#TruthToPower19",really quite appreciative way uve strongly faced media amp raised core issues india suffering incompetent govt thanks rahul bhaiya loksabhaelections rahulgandhiinterview modihaitohgodsehai modifloppressconference truthtopower,0.2166666666666667,1.0
67,Shubham28759999,"Modi ji please answer valid important question instead of technique of licking of AAM,
think for future of india #RahulGandhi #abnyayhoga #ChowkidarChorHai #chokidaarchorhai #ModiHaiTohGodseHai #fakegovernment #chalu_chowkidar @RahulGandhi @rssurjewala @sherryontopp",modi ji please answer valid important question instead technique licking aam think future india rahulgandhi abnyayhoga chowkidarchorhai chokidaarchorhai modihaitohgodsehai fakegovernment chaluchowkidar,0.2,1.0
69,DEEPANSHU_1701,"Mr. @RahulGandhi your only priority to defeat #BJP!!
That's mean you don't love our nation #India 
So now its cleared you already defeated yourself by the public of #India now wait &amp; watch 23rd may is near!!",mr priority defeat bjp thats mean dont love nation india cleared already defeated public india wait amp watch rd may near,0.071875,1.0
70,sarora88,Though Assassination of Karamchand Gandhi was not right.... But I do Not Stand in Support of His Beliefs and Deeds and will not ever stand by #RahulGandhi and #Congress... #aayegatoModihi 🥂,though assassination karamchand gandhi right stand support beliefs deeds ever stand rahulgandhi congress aayegatomodihi,0.2857142857142857,1.0
71,gandhi_today,"@INCIndia Congress has changed their dp to my pic. To all the retards in the world, I’m no where related to @RahulGandhi #RahulGandhi #NathuramGodse #ihateyoubro #IndianElections2019 #NarendraModi @BJP4India @Mahatma150 @republic",congress changed dp pic retards world im related rahulgandhi nathuramgodse ihateyoubro indianelections narendramodi,-0.45,0.0
72,destinationsrik,"Few things I dislike in #NarendraModi:
1. Blind Gandhi bhakti
2. Concepts poorly modeled on western icons, like the ""Statue of Unity""
3. Suppressing his supporters (as in Pragya Singh's case) to earn some brownie points
4. Hypocrisy in observing protocols
5. Overconfidence",things dislike narendramodi blind gandhi bhakti concepts poorly modeled western icons like statue unity suppressing supporters pragya singhs case earn brownie points hypocrisy observing protocols overconfidence,-0.3,0.0
73,manonymos,"@RahulGandhi once famously said ""poverty is a state of mind"". @narendramodi and #BJP mocked him then, but looks like Modi took this to his heart. #Modi visited several foreign nations in 90s, used digital camera in 80s but he still talks about being poor in 2019.",famously said poverty state mind bjp mocked looks like modi took heart modi visited several foreign nations used digital camera still talks poor,-0.0050000000000000044,0.0
81,sauravkol86,"People will ask #NarendraModi what he did in last five years and then will vote Congress elect Rahul Gandhi as Prime Minister and will say ""Hume Pata Hain Ye Kuch Nahi Karega"" Hey Ram",people ask narendramodi last five years vote congress elect rahul gandhi prime minister say hume pata hain ye kuch nahi karega hey ram,0.4,1.0
82,Sally75682464,"@Rampuniyani1945 @BDUTT Godse was a patriot but a foolish one, if he was wise, he had killed Jinnah instead of Mahtma Gandhi . @BJP4India  @RSSorg  #LokSabhaElections2019",godse patriot foolish one wise killed jinnah instead mahtma gandhi loksabhaelections,0.24999999999999997,1.0
83,mssamant,"@RahulGandhi Oh what rhyming RahulJi..U-Kg class. 
What a swift decision by #BJP, Pragya had to say sorry. Why can't #Congress take such swift decisions, for worst of words (even anti-national) by so many leaders of yours. 

Our country needs a strong government. Which tit bits can't deliver",oh rhyming rahuljiukg class swift decision bjp pragya say sorry cant congress take swift decisions worst words even antinational many leaders country needs strong government tit bits cant deliver,-0.14166666666666666,0.0
84,SharanRoars,"Who do you think are losing marginally or badly or very badly #LokSabhaElections2019  #Phase7 
@RahulGandhi 
@smritiirani 
@kanhaiyakumar 
@girirajsinghbjp 
#Congress #BJP #CPI #ExitPolls",think losing marginally badly badly loksabhaelections phase congress bjp cpi exitpolls,-0.6999999999999998,0.0
85,StartupGiri,"@RahulGandhi you kid 

Will you grow up now because I’m tired of laughing on you .!!!#RahulGandhi #Congress

Dear loser @INCIndia, will you plz remove this kid from President and make new clever President like @aajtak people.

@BJP4India @AmitShah @narendramodi #bjp",kid grow im tired laughing rahulgandhi congress dear loser plz remove kid president make new clever president like people bjp,-0.03232323232323234,0.0
86,SharanRoars,"Who do you think are losing marginally or badly or very badly #LokSabhaElections2019 #Phase7 
@RahulGandhi 
@ShatruganSinha 
@kanhaiyakumar 
@AtishiAAP 
#BJP #Congress #AAP #CPI #ExitPolls",think losing marginally badly badly loksabhaelections phase bjp congress aap cpi exitpolls,-0.6999999999999998,0.0
87,vikshi1311,The best thing PM #NarendraModi @narendramodi has done is not to debate with Rahul Gandhi .Who the hell is #RahulGandhi?? An entitled dynast?? Why sld PM of a country debate with any random person?? In what capacity does he want to debate?? He isn't even a leader of opposition..,best thing pm narendramodi done debate rahul gandhi hell rahulgandhi entitled dynast sld pm country debate random person capacity want debate isnt even leader opposition,0.25,1.0
88,PrriyaRaj,"Unfair!"" Complains Rahul Gandhi to the media in his press meet: 
""You ask difficult questions to me and the easy ones to Modi."" बड़ी बेइंसाफ़ी है!

#RahulGandhi #PressConference 
#NarendraModi",unfair complains rahul gandhi media press meet ask difficult questions easy ones modi rahulgandhi pressconference narendramodi,-0.18888888888888888,0.0
89,jacob3290,"@sagarikaghose @narendramodi #NarendraModi has expressed his views on the statement.
As a ""un-biased, Fair, Liberal"" journalist, will you dare to ask Rahul , why he supports #TukdeTukdeGang Gang?

Aa jati hai mooh uthake. 😏",narendramodi expressed views statement unbiased fair liberal journalist dare ask rahul supports tukdetukdegang gang aa jati hai mooh uthake,0.7,1.0
90,batrasurendra,"@vibhor_anand Absolutely right 
India have mother only 
Bharat Mata 

Is MK Gandhi husband of ... 
#LokSabhaElections2019",absolutely right india mother bharat mata mk gandhi husband loksabhaelections,0.2857142857142857,1.0
92,Deepspeaks_,"Finally Election  campaign  has come to an end. 

Winners 

Election  commission +

Ruling PM, Party,  NDA ( talked about report card, vision , development  less opposition 

Loosers 

Royal Gandhi , UPA ( only 1 agenda Modi hatao) 

#LokSabhaElections2019",finally election campaign come end winners election commission ruling pm party nda talked report card vision development less opposition loosers royal gandhi upa agenda modi hatao loksabhaelections,-0.08333333333333333,0.0
94,umakantsingh_IN,"BJP not2cross even100,Congress75,certainly BJP2get absolute majority in all exit polls,they Modi or Rahul media,thought these media do what due2their dishonesty,but they too honest,as,part of BJP-Congress,not media!#LokSabhaElections2019 #ModiOnBharat #pressmeet #PressConference",bjp notcross evencongresscertainly bjpget absolute majority exit pollsthey modi rahul mediathought media duetheir dishonestybut honestaspart bjpcongressnot medialoksabhaelections modionbharat pressmeet pressconference,0.2,1.0
95,arunjitmanna,@AmitShah Mahatma Gandhi and VidyaSagars statue damage would be very costly #India decides this #LokSabhaElections2019. If you are truly serious remove those candidates to prevent further damage in 7th phase sir. Suggestion from a normal citizen. #India decides this #LokSabhaElections2019,mahatma gandhi vidyasagars statue damage would costly india decides loksabhaelections truly serious remove candidates prevent damage th phase sir suggestion normal citizen india decides loksabhaelections,-0.09166666666666666,0.0
101,agneeesh,I am personally happy that Rahul ji has to stop lying now. But scindia is enjoying #LokSabhaElections2019,personally happy rahul ji stop lying scindia enjoying loksabhaelections,0.65,1.0
102,SandipGhose,@indian_politics @INCIndia @RahulGandhi Please read my TL. Right now listening to #RahulGandhi's press conference and keep count of how many times he took #NarendraModi's name. Think that's why #Modi didn't need to speak as Rahul Gandhi did all the talking for him. Touche. #modipressconference,please read tl right listening rahulgandhis press conference keep count many times took narendramodis name think thats modi didnt need speak rahul gandhi talking touche modipressconference,0.39285714285714285,1.0
103,chetan_chh,"@RahulGandhi We used to make such funny correlations when we were kids.. Strange you are contending for 'The Prime Minister's' post. You need to grow up and cut all-time baseless anti-modi sarcasm if you want people to take u seriously.
#PMO #NarendraModi",used make funny correlations kids strange contending prime ministers post need grow cut alltime baseless antimodi sarcasm want people take u seriously pmo narendramodi,-0.04444444444444443,0.0
104,trilokchandanik,@RAC7R @RahulGandhi Ok Then on #Pappu's press conference on behalf of #BJP same Nationalist People r Ask Que to #Pappu r you ready for that Mr #Pappu,ok pappus press conference behalf bjp nationalist people r ask que pappu r ready mr pappu,0.35,1.0
105,sanjayg_01,"@IndiaToday @RahulGandhi It takes great courage to face the #PressConference. Even so, more than 90% belong to #DalalMedia. One wrong answer and building of cards crash. You were right #RahulGandhi Modi is coward.",takes great courage face pressconference even belong dalalmedia one wrong answer building cards crash right rahulgandhi modi coward,0.19523809523809524,1.0
107,gowri_gowd,"Great relief to Indians because election canvassing came to an end. 

Ofcourse last phase of polling is on 19/05/19. 

The greatest truth revealed in campaigning is #BJP or #Modi carry Lord Shri Ram on their lips and Nathuram in their heart. Rest we know.
@INCIndia 
@RahulGandhi",great relief indians election canvassing came end ofcourse last phase polling greatest truth revealed campaigning bjp modi carry lord shri ram lips nathuram heart rest know,0.6,1.0
108,ravirao83,@IndiaToday @RahulGandhi Give Rahul credit for a hard campaign to ensure #CongressMuktBharat . Time for a nice vacation. #LokSabhaElections2019,give rahul credit hard campaign ensure congressmuktbharat time nice vacation loksabhaelections,0.15416666666666665,1.0
110,Awhadspeaks,"@RahulGandhi Salute @RahulGandhi 
U fought like a warrior respecting the values of #Democracy 
U enjoyed every bit of campaign never got into the trap of #modi because #BJP was not to b seen",salute u fought like warrior respecting values democracy u enjoyed every bit campaign never got trap modi bjp b seen,0.5,1.0
111,SocioPoliticalW,"A new word in the field of #journalism:
Press-Darshan: an event where journalist will be invited to show (Darshan) the body of a living person &amp; not to be allowed to ask any direct question to that person. 
#Pressconference #Modi #AmitShah @RahulGandhi 
#LokSabhaElections2019",new word field journalism pressdarshan event journalist invited show darshan body living person amp allowed ask direct question person pressconference modi amitshah loksabhaelections,0.11818181818181818,1.0
114,Satyapriya111,"In comparison to @RahulGandhi interview VS @narendramodi scripted farzi interviews. #RahulGandhi is far better, bold, confident, real than #Modi who seems weak, frightened to face good reporters.
#Modi is real pappu. So called pappu is upcoming hero.
Congrats to Rahul.",comparison interview vs scripted farzi interviews rahulgandhi far better bold confident real modi seems weak frightened face good reporters modi real pappu called pappu upcoming hero congrats rahul,0.26979166666666665,1.0
116,sivagirisamy,"@RahulGandhi There is real + progress from @RahulGandhi but - @narendramodi 
@INCIndia @BJP4India #Modi #RahulGandhi #HRAJA #BJP4TN @DrTamilisaiBJP",real progress modi rahulgandhi hraja bjptn,0.2,1.0
117,RangamT,"@RahulGandhi in his PC just said that ""he was going to send his 2-3 journalists to @narendramodi ji's &amp; @AmitShah PC at BJP HQ but found the door was closed."" So it means he has those journalists working like his puppets &amp; writting fake stories.
#LokSabhaElections2019",pc said going send journalists jis amp pc bjp hq found door closed means journalists working like puppets amp writting fake stories loksabhaelections,-0.3,0.0
118,nirmalansun,"#KamalHaasan #bjp #Congress #mnm what Kamal started , but bjp showing their original face . Either they are not able to say God sent is bad and Gandhi is not good . Modi is just saying word against pragya but no one action ? This is real bjp AKA rss #modihaitohgodsehai",kamalhaasan bjp congress mnm kamal started bjp showing original face either able say god sent bad gandhi good modi saying word pragya one action real bjp aka rss modihaitohgodsehai,0.19583333333333333,1.0
119,bankasaurabh,"#ModiOnBharat  SHIT - that is the only word for so called press conference of PM. 

He not even took a single question. 

@RahulGandhi said correctly that Modi can do only scripted interviews not press conference.

#LokSabhaElections2019 #Modi",modionbharat shit word called press conference pm even took single question said correctly modi scripted interviews press conference loksabhaelections modi,-0.13571428571428573,0.0
120,vikasmishraa,Modi is falling in Trap of Rahul Gandhi. First started giving interviews at rallies following RG. Now attending a 1st PC in 5years without taking any questions from Media. #LokSabhaElections2019,modi falling trap rahul gandhi first started giving interviews rallies following rg attending st pc years without taking questions media loksabhaelections,0.125,1.0
121,Milan_reports,While @RahulGandhi takes candid questions at his last PC - excited reporters at BJP got no Q&amp;A with @narendramodi 😥 #LokSabhaElections2019,takes candid questions last pc excited reporters bjp got qampa loksabhaelections,0.325,1.0
122,kiran_m_kumar,"@JhaSanjay @sheeba_v Mahatma Gandhi is already gone we have #NarendraModi with us now we are not ready to losing modi ji Thousands of #Modi can come but nobody can replace our #NarendraModi the one and only #PrimeMinister who made #India proud
#Modi ji will not #apologize anyone",mahatma gandhi already gone narendramodi us ready losing modi ji thousands modi come nobody replace narendramodi one primeminister made india proud modi ji apologize anyone,0.5,1.0
124,HD_07,"Talk about hypocrisy,

Modi condemns Sadhvi Pragya’s statements about Sadhvi Pragya when he has been rambling about Rajiv Gandhi in the last fortnight.

Both equally poor and leave a bad taste in the mouth 

#Elections2019 #LokSabhaElections2019",talk hypocrisy modi condemns sadhvi pragyas statements sadhvi pragya rambling rajiv gandhi last fortnight equally poor leave bad taste mouth elections loksabhaelections,-0.36666666666666664,0.0
125,ShaktiShekhar,First BJP chief Amit Shah &amp; now PM Narendra Modi addressing press conference in party HQs simultaneously with Congress president Rahul Gandhi who is talking to the media persons in Congress headquarters as campaigning for #LokSabhaElections2019 comes to an end before 7th phase.,first bjp chief amit shah amp pm narendra modi addressing press conference party hqs simultaneously congress president rahul gandhi talking media persons congress headquarters campaigning loksabhaelections comes end th phase,0.25,1.0
127,editorji,"Rahul Gandhi: Proud to say we have fought the BJP, protected the nation's institutions from the BJP &amp; the RSS and we have done it successfully'
#LokSabhaElections2019 #Election2019",rahul gandhi proud say fought bjp protected nations institutions bjp amp rss done successfully loksabhaelections election,0.775,1.0
130,editorji,"Rahul Gandhi: Election Commission's role has been very biased. PM Modi says what he wants, while others are penalised for saying the same things. It appears that the election schedule has been made in order to enable Modi to campaign"" 
#LokSabhaElections2019 #Election2019",rahul gandhi election commissions role biased pm modi says wants others penalised saying things appears election schedule made order enable modi campaign loksabhaelections election,0.2,1.0
131,editorji,"Rahul Gandhi: I won't disrespect the people of this country by pre-judging what they will decide. The mood of the nation will be clear on May 23'
#LokSabhaElections2019 #Election2019",rahul gandhi wont disrespect people country prejudging decide mood nation clear may loksabhaelections election,0.10000000000000002,1.0
